Month,t_min,t_max,t_avg,h_avg,rr,ss
1,18.8477,24.5543,20.9994,89.2302,13.6425,1.8739
2,18.8603,24.1108,20.8437,90.8955,20.3061,1.881
3,19.0606,25.6834,21.5132,87.8578,12.2468,3.0733
4,19.2373,26.387,21.9242,87.1909,13.0611,3.9474
5,19.3085,26.6257,22.2273,85.7977,7.9299,4.2938
6,18.7132,26.2947,21.7635,84.8419,5.8161,4.3985
7,18.0433,26.1427,21.3425,82.3612,3.8977,5.3808
8,17.7566,26.4311,21.322,81.0338,3.1219,5.8324
9,17.9267,26.8876,21.692,80.8379,5.3911,5.5689
10,18.5836,26.8721,21.966,82.5982,7.844,4.8953
11,19.0386,26.1463,21.8223,86.7484,12.2214,3.3606
12,19.0397,25.3235,21.4653,87.5145,11.0831,2.029
