Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-01-01,19.0,24.2,20.7,92.0,6.0,0.0,2.0,340.0,0.0,N 
2014-01-02,19.0,25.4,20.9,92.0,2.2,0.0,2.0,300.0,0.0,N 
2014-01-03,18.0,27.8,22.1,83.0,21.6,5.0,2.0,300.0,1.0,N 
2014-01-04,18.25,27.35,21.5,85.0,13.3,3.15,2.0,300.0,1.0,N 
2014-01-05,18.5,26.9,21.85,82.0,5.0,1.3,2.0,270.0,1.0,W 
2014-01-06,18.75,26.4,22.2,79.0,1.6,1.9,3.0,60.0,1.0,N 
2014-01-07,19.0,28.4,21.2,86.0,1.4,2.5,2.0,280.0,0.0,N 
2014-01-08,19.0,23.6,20.1,92.0,1.2,2.7,2.0,20.0,1.0,N 
2014-01-09,18.0,25.5,22.3,78.0,6.0,0.1,3.0,300.0,1.0,N 
2014-01-10,18.0,27.4,21.2,87.0,14.95,6.5,2.0,330.0,1.0,N 
2014-01-11,18.0,25.0,20.7,92.0,23.9,5.5,4.0,340.0,1.0,N 
2014-01-12,19.0,21.0,19.5,98.0,64.6,3.666666666666667,3.0,270.0,1.0,N 
2014-01-13,19.0,21.6,19.9,97.0,132.5,1.8333333333333335,1.0,290.0,0.0,N 
2014-01-14,18.0,24.6,20.4,94.0,13.4,0.0,3.0,340.0,1.0,N 
2014-01-15,19.0,24.0,20.1,91.0,37.3,3.0,2.0,240.0,1.0,N 
2014-01-16,19.0,20.0,19.3,98.0,13.9,2.0,2.0,300.0,0.0,N 
2014-01-17,19.0,20.0,19.15,99.0,77.25,1.0,3.5,305.0,0.5,
2014-01-18,19.0,20.0,19.0,100.0,140.6,0.0,5.0,310.0,1.0,W 
2014-01-19,19.0,20.0,19.05,100.0,74.8,0.0,4.0,310.0,1.0,N 
2014-01-20,18.0,19.75,19.1,100.0,16.5,0.0,4.0,320.0,1.0,NW
2014-01-21,18.0,19.5,19.3,100.0,78.9,0.0,3.0,300.0,1.0,NW
2014-01-22,17.0,20.4,18.3,99.0,78.3,0.0,4.0,310.0,1.0,N 
2014-01-23,17.0,20.0,18.4,100.0,48.8,0.0,5.0,330.0,2.0,NW
2014-01-24,18.0,21.3,18.9,100.0,54.6,0.0,3.0,300.0,1.0,N 
2014-01-25,17.0,22.6,19.8,95.0,25.0,0.0,3.0,210.0,1.0,N 
2014-01-26,17.0,24.5,20.3,92.0,1.6,3.2,2.0,360.0,1.0,N 
2014-01-27,17.0,25.4,19.2,96.0,17.3,2.5,4.0,320.0,0.0,N 
2014-01-28,17.5,24.65,18.9,98.0,34.8,1.6666666666666665,3.0,320.0,0.5,
2014-01-29,18.0,23.9,18.6,100.0,52.3,0.8333333333333333,2.0,320.0,1.0,NW
2014-01-30,18.0,23.15,19.1,100.0,192.8,0.0,2.0,290.0,0.0,N 
2014-01-31,18.5,22.4,18.9,100.0,23.3,0.0,2.0,310.0,0.0,N 
2014-02-01,19.0,23.0,20.3,96.0,4.7,0.0,3.0,260.0,1.0,W 
2014-02-02,18.0,21.2,19.1,100.0,32.6,1.1,4.0,330.0,0.0,N 
2014-02-03,18.0,20.0,19.4,100.0,34.2,0.0,3.0,300.0,0.0,N 
2014-02-04,18.0,22.1,19.849999999999998,99.0,78.7,0.0,2.0,260.0,0.0,N 
2014-02-05,18.0,24.2,20.3,98.0,26.3,0.0,2.0,320.0,0.0,N 
2014-02-06,19.0,24.4,20.4,95.0,11.6,1.2,3.0,340.0,0.0,N 
2014-02-07,19.0,21.4,20.5,96.0,25.5,3.3,3.0,330.0,0.0,N 
2014-02-08,19.0,23.1,20.5,94.0,18.1,1.65,1.0,120.0,0.0,N 
2014-02-09,19.0,21.2,19.6,98.0,42.3,0.0,3.0,340.0,1.0,N 
2014-02-10,19.0,23.2,20.5,94.0,33.2,0.0,2.0,320.0,0.0,N 
2014-02-11,19.0,24.0,21.7,90.0,2.5,0.1,2.0,310.0,0.0,N 
2014-02-12,19.0,25.4,21.5,90.0,0.1,3.2,3.0,330.0,1.0,N 
2014-02-13,19.0,26.8,22.0,87.0,0.05,2.3,3.0,320.0,1.0,N 
2014-02-14,19.0,25.0,21.4,89.0,0.0,2.9,3.0,350.0,1.0,N 
2014-02-15,19.0,23.6,20.7,92.0,0.0,3.5,2.0,330.0,0.0,N 
2014-02-16,19.0,24.9,20.5,88.0,0.5,0.2,3.0,330.0,1.0,N 
2014-02-17,17.0,26.2,21.4,85.0,21.6,1.9,3.0,300.0,0.0,N 
2014-02-18,19.0,23.599999999999998,21.2,83.66666666666667,1.2,4.1,3.0,310.0,0.0,N 
2014-02-19,19.0,21.0,21.0,82.33333333333333,0.1,0.0,3.0,330.0,1.0,N 
2014-02-20,17.0,26.4,21.3,81.0,12.8,4.3,3.0,320.0,1.0,N 
2014-02-21,19.0,26.6,19.8,94.0,0.5,7.0,3.0,310.0,1.0,N 
2014-02-22,19.0,19.7,19.2,98.0,23.4,0.0,2.0,350.0,1.0,N 
