Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2014-01-01,23.0,28.7,25.3,89.0,10.0,0.0,4.0,360.0,0.0,NW
2014-01-02,23.0,31.4,25.8,86.0,0.3,5.7,5.0,270.0,0.0,S 
2014-01-03,22.0,31.6,25.6,86.0,0.9,5.3,4.0,315.0,0.0,NW
2014-01-04,23.0,29.6,25.6,87.0,0.0,5.35,3.0,45.0,0.0,NE
2014-01-05,23.0,31.8,26.4,79.0,3.2,5.4,4.0,315.0,0.0,NW
2014-01-06,23.0,30.6,25.7,82.0,3.3,2.4,4.0,270.0,1.0,NW
2014-01-07,22.0,31.0,25.6,84.0,0.0,3.6,3.0,270.0,1.0,W 
2014-01-08,23.0,26.6,23.5,95.0,1.8,0.0,3.0,225.0,0.0,SW
2014-01-09,22.0,32.5,26.1,79.0,36.8,5.8,5.0,225.0,0.0,SW
2014-01-10,22.0,32.2,26.6,79.0,0.0,7.7,5.0,315.0,1.0,NW
2014-01-11,23.0,31.2,24.9,86.0,9.2,5.7,6.0,315.0,1.0,NW
2014-01-12,21.0,26.5,23.6,96.0,84.6,0.1,4.0,225.0,2.0,SW
2014-01-13,22.0,27.4,24.5,93.0,102.2,0.0,2.0,45.0,0.0,NE
2014-01-14,23.0,30.4,25.4,88.0,10.0,6.0,4.0,315.0,0.0,NW
2014-01-15,22.0,27.9,24.0,92.0,11.2,0.3,4.0,360.0,1.0,N 
2014-01-16,22.0,25.4,23.8,94.0,29.6,0.0,2.0,270.0,1.0,W 
2014-01-17,22.0,25.6,23.4,96.0,12.0,0.0,4.0,315.0,0.0,NW
2014-01-18,22.0,26.6,24.2,93.0,103.3,0.0,3.0,315.0,1.0,NW
2014-01-19,22.0,25.8,23.5,94.0,42.8,0.0,2.0,315.0,0.0,NW
2014-01-20,23.0,25.6,24.0,94.0,13.4,0.0,3.0,225.0,0.0,NW
2014-01-21,22.0,24.0,22.8,96.0,47.1,0.0,3.0,315.0,0.0,NW
2014-01-22,22.0,28.0,23.9,92.0,44.8,0.3,2.0,270.0,0.0,NW
2014-01-23,22.0,25.5,22.7,96.0,19.5,0.0,3.0,315.0,0.0,NW
2014-01-24,22.0,28.2,24.6,89.0,6.5,1.4,4.0,315.0,0.0,NW
2014-01-25,21.0,28.8,25.0,86.0,16.8,7.2,7.0,315.0,1.0,NW
2014-01-26,21.0,30.9,25.0,86.0,0.0,6.1,5.0,315.0,2.0,NW
2014-01-27,22.0,28.5,24.3,90.0,0.8,2.7,5.0,315.0,0.0,NW
2014-01-28,23.0,26.4,24.6,93.0,22.6,0.0,3.0,315.0,4.0,NW
2014-01-29,22.0,26.1,24.3,90.0,26.0,0.0,3.0,315.0,2.0,NW
2014-01-30,23.0,27.3,24.6,90.0,37.9,0.5,4.0,225.0,2.0,NE
2014-01-31,23.0,27.0,24.6,93.0,5.4,0.1,2.0,135.0,2.0,SE
2014-02-01,22.0,29.0,25.4,89.0,4.5,2.7,4.0,315.0,2.0,NW
2014-02-02,23.0,26.9,23.6,95.0,5.6,0.0,0.0,0.0,3.0,N 
2014-02-03,22.0,25.6,23.6,96.0,29.6,0.0,3.0,315.0,1.0,NW
2014-02-04,23.0,27.6,24.8,92.0,41.5,0.0,3.0,225.0,2.0,SW
2014-02-05,23.0,27.6,24.5,94.0,8.4,0.7,3.0,270.0,1.0,W 
2014-02-06,22.0,28.7,25.5,91.0,22.3,2.6,4.0,315.0,1.0,NW
2014-02-07,24.0,30.2,25.9,84.0,1.4,0.6,4.0,315.0,2.0,W 
2014-02-08,23.0,29.4,25.3,90.0,0.1,0.3,3.0,315.0,2.0,NW
2014-02-09,23.0,29.4,25.6,87.0,27.4,2.8,3.0,315.0,2.0,W 
2014-02-10,23.0,29.0,24.9,92.0,15.6,1.0,3.0,270.0,3.0,W 
2014-02-11,23.0,31.2,26.3,84.0,4.5,5.5,4.0,315.0,2.0,NW
